Ticker,Class,Sector,T,BIC_winner,LLF_winner,GARCH_LLF,GARCH_BIC,GARCH_beta,SEARCH_LLF,SEARCH_BIC,SEARCH_alpha,SEARCH_c,GMARCH_LLF,GMARCH_BIC,GMARCH_delta,GMARCH_lam,GMARCH_H,FIGARCH_LLF,FIGARCH_BIC,FIGARCH_d,FIGARCH_phi,FIGARCH_beta1,HYGARCH_LLF,HYGARCH_BIC,HYGARCH_d,HYGARCH_tau
XOM,US Stock,Large Value,6599,SEARCH,SEARCH,-4940.641841,9916.144578,0.916772,-4932.803155,9909.182431,0.460318,0.742317,-4934.967002,9913.510125,-0.432820,0.043148,0.283590,-4934.185215,9920.661774,0.001428,0.914646,0.912952,-4934.185198,9929.376964,0.001472,1.000000
PG,US Stock,Large Value,6599,SEARCH,SEARCH,-3141.191292,6317.243480,0.904214,-3125.139963,6293.856046,0.287089,1.994747,-3129.036814,6301.649747,-0.499985,0.042681,0.250007,-3127.465989,6307.223323,0.078547,0.960216,0.939740,-3127.465991,6315.938551,0.078546,0.999996
KO,US Stock,Large Value,6599,SEARCH,SEARCH,-3181.017641,6396.896179,0.924990,-3155.539506,6354.655132,0.293189,1.746264,-3159.979831,6363.535783,-0.498437,0.031821,0.250782,-3158.771658,6369.834660,0.111491,0.988519,0.971764,-3158.771661,6378.549890,0.111491,0.999998
PFE,US Stock,Large Value,6599,SEARCH,HYGARCH,-4951.004191,9936.869277,0.896710,-4929.942466,9903.461052,0.242985,2.637047,-4936.185689,9915.947499,-0.499204,0.050008,0.250398,-4927.428037,9907.147417,0.000654,0.837387,0.836919,-4927.423461,9915.853491,0.000456,0.999990
IBM,US Stock,Classic Tech,6599,FIGARCH,FIGARCH,-5062.776636,10160.414169,0.858708,-5032.480283,10108.536687,0.069271,12.712671,-5049.629273,10142.834665,-0.496746,0.023353,0.251627,-5028.122235,10108.535815,0.000396,0.802317,0.802152,-5028.139893,10117.286355,0.000732,0.999989
GE,US Stock,Classic Industrial,6599,SEARCH,FIGARCH,-6065.060159,12164.981214,0.952775,-6019.903262,12083.382643,0.177477,3.519679,-6029.856056,12103.288232,-0.482703,0.019538,0.258648,-6017.656753,12087.604851,0.127656,0.998256,0.984499,-6017.656754,12096.320077,0.127628,1.000000
INTC,US Stock,Classic Tech,6599,SEARCH,HYGARCH,-7402.273334,14839.407564,0.963493,-7344.234622,14732.045363,0.000006,151646.002679,-7368.390382,14780.356884,-0.492151,0.019060,0.253924,-7341.322778,14734.936900,0.159235,1.000000,0.991816,-7340.907975,14742.822518,0.270879,0.621723
CSCO,US Stock,Classic Tech,6599,SEARCH,HYGARCH,-6385.476462,12805.813820,0.844340,-6331.436478,12706.449076,0.042834,20.849012,-6375.769044,12795.114208,1.812576,0.528605,1.406288,-6329.568574,12711.428492,0.000835,0.762775,0.762561,-6329.176295,12719.359159,0.142348,0.999960
T,US Stock,Classic Telecom,6599,SEARCH,FIGARCH,-4691.044584,9416.950064,0.950344,-4656.156520,9355.889160,0.163445,4.032476,-4662.462359,9368.500839,-0.497255,0.021257,0.251373,-4654.329739,9360.950823,0.095332,0.989984,0.980334,-4654.329739,9369.666047,0.095330,1.000000
BAC,US Stock,Banks,6599,SEARCH,SEARCH,-6458.536471,12951.933838,0.917778,-6421.709867,12886.995854,0.280986,1.967562,-6430.790778,12905.157677,-0.499474,0.037807,0.250263,-6425.481838,12903.255020,0.098521,0.979012,0.961026,-6425.481840,12911.970248,0.098520,0.999998
