family,lr_obs,p_boot,p_analytic,lam_hat,d_hat,n_boot_ok,lr_star_mean,lr_star_var,degenerate,reject_longmem_boot,Ticker,Class,lb_d_lw,lb_se_lw,lb_z_lw,lb_d_lw_shiftadj,lb_bw_drift,lensB_LM,kernel_summable,kernel_degenerate,verdict
tfarch,50.54418491170509,0.001,5.825595087398593e-13,0.0418159142354975,0.5226413963536728,999,0.5726872686160456,1.277945486161986,False,True,EWG,Intl Equity,0.4892457562318101,0.0286299167156934,17.08861961039626,0.4689355413206725,-0.1855943552562802,True,True,False,indeterminate
tfarch,20.691711254221445,0.001,2.697451529203511e-06,0.0154800693174225,0.2400237102589047,999,0.5736273158561614,1.6618256383233152,False,True,EWH,Intl Equity,0.4834042515721974,0.0286299167156934,16.884584624279423,0.4518467727776108,-0.1767624757690525,True,True,False,indeterminate
tfarch,27.67707493929265,0.001,7.167576594843066e-08,0.0292146016818674,0.321871291612086,999,0.584593474996354,1.6753619798716537,False,True,EWI,Intl Equity,0.4299107134021313,0.0286299167156934,15.016135662262576,0.4068855430524629,-0.1453340021081367,True,True,False,indeterminate
tfarch,33.64119906338237,0.001,3.3137027025714323e-09,0.0232471227182881,0.261302097669881,999,0.6065503321649419,1.5625603499704854,False,True,EWJ,Intl Equity,0.4650274250363015,0.0286299167156934,16.24270966814926,0.4466160249222278,0.0475439833266026,True,True,False,indeterminate
tfarch,15.105677586925594,0.001,5.0828544424003135e-05,0.0105430648305254,0.1001535294092818,999,0.5948670815199005,1.3831880164461725,False,True,EWK,Intl Equity,0.4555304124158141,0.0286299167156934,15.910993278094878,0.425957028361122,-0.0796735684920135,True,True,False,indeterminate
tfarch,65.98929085880809,0.001,2.2668985024995425e-16,0.0726484914180175,0.7834448245565023,999,0.5594070782229685,1.3393193627106992,False,True,EWL,Intl Equity,0.4627822166636118,0.0286299167156934,16.16428791111149,0.4367980717559362,0.0350074605998697,True,True,False,indeterminate
tfarch,40.2301487856821,0.001,1.1286875836234467e-10,0.0432173357822838,0.562168306450043,999,0.5422325069941691,1.2840385088783264,False,True,EWN,Intl Equity,0.4967110132020598,0.0286299167156934,17.349369826486047,0.4728013387756258,-0.0115124693898672,True,True,False,indeterminate
tfarch,32.762745157782774,0.001,5.206068199243985e-09,0.0365227792186366,0.4460967980321925,999,0.6682161473826335,1.9018389741774968,False,True,EWO,Intl Equity,0.4739776110038534,0.0286299167156934,16.555326224335257,0.4602596021927524,-0.0724381763459578,True,True,False,indeterminate
tfarch,33.33205784710299,0.001,3.884565203331802e-09,0.0506445452433847,0.5273343255743833,999,0.556770376063464,1.7194541236699643,False,True,EWP,Intl Equity,0.4364413996560932,0.0286299167156934,15.244242726590224,0.4078637025631781,-0.0147903251813235,True,True,False,indeterminate
tfarch,35.20876294121808,0.001,1.480938955533962e-09,0.0445596575840013,0.4699182169388499,999,0.5867952874651556,1.594639573895311,False,True,EWQ,Intl Equity,0.477960138673308,0.0286299167156934,16.69442993563846,0.4510894985385325,-0.1194568922921769,True,True,False,indeterminate
tfarch,35.84017060313272,0.001,1.0709294507092856e-09,0.0239290097821445,0.3773471476997948,999,0.5521320418901459,1.4117118998515326,False,True,EWS,Intl Equity,0.4632122798990212,0.0286299167156934,16.17930937413844,0.4249966777431157,-0.1774068734876976,True,True,False,indeterminate
tfarch,32.66802996057595,0.001,5.466030717797594e-09,0.0172608182117499,0.3093784363943042,999,0.5146496136933031,1.2380207749230645,False,True,EWT,Intl Equity,0.4193066076805545,0.0288195208852117,14.549395506977865,0.3708105183971544,-0.4765003780674092,True,True,False,indeterminate
tfarch,60.4642756387484,0.001,3.7463003261361704e-15,0.0616287956103889,0.6057140382161221,999,0.6389231512208841,1.7920186703044312,False,True,EWU,Intl Equity,0.4961906562244719,0.0286299167156934,17.331194538630506,0.4765988078010852,-0.0046708443492985,True,True,False,indeterminate
tfarch,49.9522690097383,0.001,7.876590071752679e-13,0.0554686121130345,0.5780997118295955,999,0.5681333901891965,1.4478407286396082,False,True,EWW,Intl Equity,0.4541379686767168,0.0286299167156934,15.862357309191273,0.4335653137864527,0.1448602779582134,True,True,False,indeterminate
tfarch,28.05419854761203,0.001,5.898245217747233e-08,0.0269973628932043,0.4384923271447488,999,0.5680546761751494,1.2952773940749838,False,True,EWY,Intl Equity,0.5192585454233914,0.0287717668824218,18.04750287131772,0.5030578843754203,-0.0765539845097862,True,True,False,indeterminate
tfarch,36.69297869613729,0.001,6.913828701725208e-10,0.019559467338565,0.2829826047716411,999,0.5617974087463181,1.4243985731279434,False,True,EWZ,Intl Equity,0.4375888646332834,0.0288195208852117,15.183766113815748,0.4164460028505095,-0.0268567421469,True,True,False,indeterminate
tfarch,52.85082065236202,0.001,1.7993413846017157e-13,0.0442688146455435,0.5624983984515244,999,0.6868218157357766,2.0444245724132037,False,True,EZA,Intl Equity,0.4772509966201194,0.0298274993135946,16.000369042087264,0.4623364367169847,0.1193353122036648,True,True,False,indeterminate
tfarch,38.3573161971708,0.001,2.9453414995338387e-10,0.0378037740890153,0.4650428425813149,999,0.5715098102047524,1.4085249183359267,False,True,FXI,Intl Equity,0.4922527252344142,0.0305423610890763,16.11704883583712,0.4550794408877542,-0.3388192551121914,True,True,False,indeterminate
tfarch,25.34165191252032,0.001,2.401130964990329e-07,0.0291233115728797,0.3535718361200535,999,0.5703539129157574,1.3363052841947194,False,True,GXC,Intl Equity,0.4645061898156825,0.0317500317500476,14.630101584543636,0.4139031085672958,-0.4853521505408556,True,True,False,indeterminate
