dgp,innov,alpha,lr,wald2,scaled,mu4,rej_lr,rej_wald,rej_scaled
garch,gauss,0.8930643773925322,0.1639658317149042,0.1948479878779554,0.15271609230533031,3.1473288013038196,0,0,0
garch,gauss,1.1162490911910101,0.18747345234191926,0.14657667700156315,0.18148580954352656,3.0659846939378106,0,0,0
garch,gauss,0.40889980568360457,5.988523372978989,12.454625312467506,5.998996344044782,2.99650842558816,1,1,1
garch,gauss,1.8375144515149795,3.84067381739726,3.188038726722535,3.7711646849512825,3.0368634829040224,0,0,0
garch,gauss,0.8913133421113653,0.12907269357674522,0.11204024692678483,0.12060327997092277,3.1404508004734932,0,0,0
garch,gauss,1.2107038670004018,0.4394837180871036,0.41147215866403386,0.45291424895071103,2.9406928313925977,0,0,0
garch,gauss,1.063448325910815,0.03235484093852392,0.030547883356191994,0.03114870213001305,3.07744392067936,0,0,0
garch,gauss,0.813226905237175,0.5265411017852273,0.9771463187906514,0.556114769390145,2.8936418551251597,0,0,0
garch,gauss,1.0778149817949234,0.06950216717041258,0.5861251283611905,0.0650560586633652,3.1366854555408565,0,0,0
garch,gauss,2.0904239361128485,2.7039762489566783,1.4302618737231756,2.8279280689155764,2.9123373601179114,0,0,0
garch,gauss,1.4363289003620365,0.5385942542300199,0.19063756449141528,0.5115814534431216,3.1056050824559525,0,0,0
garch,gauss,0.8902851939948802,0.164032900849179,0.25865353770700333,0.17170593530798567,2.910625868056993,0,0,0
garch,gauss,0.9596373905082647,0.023092757859785706,0.025195677928928698,0.023866265137631713,2.9351798638467015,0,0,0
garch,gauss,1.0479514111336934,0.016328242563758977,0.010162152751984618,0.016592774687095316,2.9681147814847297,0,0,0
garch,gauss,1.2586639253953273,0.7790765838458356,0.7785752212631946,0.8153841308799377,2.9109436996402662,0,0,0
garch,gauss,0.8584661280467205,0.32426567226809766,0.6075438474625579,0.33655613292758146,2.926963383180253,0,0,0
garch,gauss,1.557288123322912,1.3221325113738658,0.5957794828697264,1.3666769769031977,2.93481346904626,0,0,0
garch,gauss,1.0887535156367851,0.10916546742714672,0.11870518975812651,0.10272252172362806,3.125443682561712,0,0,0
garch,gauss,1.048764007620642,0.03151384362922727,0.04196747507884519,0.03118159833057829,3.0213103443336427,0,0,0
garch,gauss,0.7963888327061683,0.6472035907040663,0.8762364410909811,0.68412396014891,2.892065264205021,0,0,0
garch,gauss,0.8551344001700338,0.39318927168278606,0.5633163924217206,0.40035001334446485,2.964227593740492,0,0,0
garch,gauss,0.7992178145658133,0.8116264837568679,1.174289114829934,0.8017042622758368,3.024752822076471,0,0,0
garch,gauss,1.617524588312364,3.713782321293138,3.3790078326891253,3.622869736897775,3.050188160766283,0,0,0
garch,gauss,3.3571623963043087,8.002818505470032,1.2677319312373094,8.125747338616069,2.969743377926153,1,0,1
garch,gauss,0.7276386903482318,1.0547166368917829,1.3759745267966461,1.0252299071369377,3.0575221802438244,0,0,0
garch,gauss,1.1449353553030415,0.25374073920511364,0.18935309949448642,0.2443444785834661,3.076909948414798,0,0,0
garch,gauss,0.9482069395087338,0.0294851233479676,0.03698813179132924,0.03137639055597163,2.879446477144639,0,0,0
garch,gauss,0.6938334551989151,2.06436629124903,4.818134418581198,2.045328378189508,3.0186159965925605,0,1,0
garch,gauss,0.7691262213891173,1.005397720181918,1.256313445900366,1.0019576770954293,3.0068666435022706,0,0,0
garch,gauss,0.9730550371314346,0.007580097099435079,0.007890346076554904,0.007775849540756793,2.949651175657223,0,0,0
garch,gauss,1.0302417134366464,0.010114939105335452,0.011141247968736395,0.010032360223974314,3.0164625032430155,0,0,0
garch,gauss,1.0064266925847087,0.0003518849839565519,0.00041244683011449284,0.0003529779551661519,2.9938071418137966,0,0,0
garch,gauss,1.0816609306154261,0.08728516700489308,0.07710344661442631,0.08199910125244025,3.1289298461011,0,0,0
garch,gauss,1.9205641785420968,1.6053622057422672,0.1300771930880314,1.6257241080072726,2.974950359455561,0,0,0
garch,gauss,1.241814711462453,0.6605668234210498,0.5569114278824582,0.6688721641099585,2.9751661344736617,0,0,0
garch,gauss,1.0873208734849906,0.07023260049840019,0.08174540566186356,0.07466711565899735,2.8812190581768427,0,0,0
garch,gauss,0.736675112886577,1.7255438255808713,4.214262448914073,1.7810849797622164,2.9376322243885746,0,1,0
garch,gauss,1.241632991001865,0.422539158782854,0.3467905272531632,0.39821333926023006,3.1221748099539535,0,0,0
garch,gauss,2.2835080132607377,3.359197528312052,1.675954553362759,3.549313019219681,2.8928719502178897,0,0,0
garch,gauss,0.7866323929498263,0.6440441336235381,0.6632765039495397,0.6146812319659796,3.095538630856338,0,0,0
garch,gauss,1.4042423771584733,1.3749343756226153,0.7880257154819481,1.3404375080176758,3.051471056872999,0,0,0
garch,gauss,1.1225932313034146,0.18921734644794697,0.23128649615141794,0.18858740656042305,3.006680614565025,0,0,0
garch,gauss,1.2589229521815792,0.45704060357343224,0.36191906964739484,0.47460850780346014,2.925968860898284,0,0,0
garch,gauss,0.6863067669551257,1.1928038138739794,1.2933746194965716,1.1230774773084495,3.124170127127177,0,0,0
garch,gauss,1.4385426236323606,1.4392070664073344,1.0786632674484473,1.4746981009593412,2.9518667115270323,0,0,0
garch,gauss,2.041490772945619,3.6483717571895795,1.436277126207552,3.7820814155097566,2.9292930830246786,0,0,0
garch,gauss,0.9866205223261402,0.0036983554632570304,0.006114995559498238,0.0036265229082010596,3.039615111705776,0,0,0
garch,gauss,1.2219290699558214,0.3720288517283734,0.2794356259966634,0.37691766885762884,2.974058965481387,0,0,0
garch,gauss,1.7094047751473485,1.811660356651032,0.4205909301122859,1.8138007956211377,2.997639830156351,0,0,0
garch,gauss,1.8468357641931166,3.0756497632885385,1.0501365153455722,2.8713338438352394,3.1423142905461625,0,0,0
garch,gauss,0.8139212517433654,0.4114076887858573,0.5337030975675666,0.43608490770479735,2.8868237882901235,0,0,0
garch,gauss,0.9791908804520868,0.004793623894784105,0.004709003548424151,0.004645215741817278,3.063897205733987,0,0,0
garch,gauss,1.476213210608968,1.410206100085702,0.6458475185202711,1.4359485630725806,2.96414570319734,0,0,0
garch,gauss,0.6880492923899232,1.558416334036309,2.6818886108893607,1.7004332148029444,2.8329638829325114,0,0,0
garch,gauss,0.9198141932113273,0.050993330529763625,0.04959205863202944,0.051994421618214624,2.961492365630997,0,0,0
garch,gauss,0.9187180568675235,0.12459010983548069,0.18361442314021773,0.12402171835082855,3.009165999184825,0,0,0
garch,gauss,1.7358430093034174,1.9509118215647732,0.6273807869167921,1.9190973007189802,3.0331557142348893,0,0,0
garch,gauss,0.9152418551358803,0.07823851542809734,0.05939343298235119,0.07544116979781484,3.074159656796932,0,0,0
garch,gauss,0.7350166967633831,1.553014964260683,3.0897350648553994,1.5521045070546864,3.001173190596198,0,0,0
garch,gauss,0.7699116507116319,0.7886798915276358,1.1552327153799105,0.7769127851396491,3.030291962271857,0,0,0
garch,gauss,0.6618727492012315,2.7030553302904536,5.0843176008788395,2.5909157597939556,3.0865636561687486,0,1,0
garch,gauss,0.7605335196944616,0.9245479441560747,1.1735342422628428,0.9003616274257421,3.053725783048939,0,0,0
garch,gauss,1.2458179931542317,0.4548406822475499,0.258396648756364,0.43288359029861195,3.101445711692566,0,0,0
garch,gauss,0.704824488868777,1.754001979137911,2.973719294386372,1.7203075799091314,3.03917252893876,0,0,0
garch,gauss,1.2674188940180071,0.39457968973260904,0.25722790678291774,0.4380699867646564,2.8014458951947714,0,0,0
garch,gauss,1.7387158541896355,3.849153708567883,2.2591368567245596,4.20182588535368,2.8321338454241487,1,0,1
garch,gauss,1.5495171597367043,1.436789980809806,0.987568080736253,1.4066219533570958,3.042894293496145,0,0,0
garch,gauss,1.061920674984106,0.05362837385837338,0.04836122456083057,0.05129406811268602,3.0910165963268583,0,0,0
garch,gauss,1.2385737771608976,0.6650852123675577,0.8935104104593449,0.6634931379487566,3.004799068227663,0,0,0
garch,gauss,1.0509688291502126,0.03479804777634854,0.03857371999724369,0.036364362418383145,2.913854414714402,0,0,0
garch,gauss,1.2648098593214763,0.7318408362284572,0.6750436864843727,0.7485081276077995,2.955465302874906,0,0,0
